Index,Load_AESO_2030.dat,Load_AVA_2030.dat,Load_AZPS_2030.dat,Load_BANC_2030.dat,Load_BCHA_2030.dat,Load_BPAT_2030.dat,Load_CFE_2030.dat,Load_CHPD_2030.dat,Load_CIPB_2030.dat,Load_CIPV_2030.dat,Load_CISC_2030.dat,Load_CISD_2030.dat,Load_DOPD_2030.dat,Load_EPE_2030.dat,Load_GCPD_2030.dat,Load_IID_2030.dat,Load_IPFE_2030.dat,Load_IPMV_2030.dat,Load_IPTV_2030.dat,Load_LDWP_2030.dat,Load_NEVP_2030.dat,Load_NWMT_2030.dat,Load_PACW_2030.dat,Load_PAID_2030.dat,Load_PAUT_2030.dat,Load_PAWY_2030.dat,Load_PGE_2030.dat,Load_PNM_2030.dat,Load_PSCO_2030.dat,Load_PSEI_2030.dat,Load_SCL_2030.dat,Load_SPPC_2030.dat,Load_SRP_2030.dat,Load_TEPC_2030.dat,Load_TH_Malin_2030.dat,Load_TH_Mead_2030.dat,Load_TH_PV_2030.dat,Load_TIDC_2030.dat,Load_TPWR_2030.dat,Load_VEA_2030.dat,Load_WACM_2030.dat,Load_WALC_2030.dat,Load_WAUW_2030.dat
4473,7015,1173.03376,5290.92725,2017.82154,7410,5644.56083,1907,161.50521,5077.559219,7578.257134,12592.34686,2424.534527,224.24064,936.00524,740.80779,555.80224,342.0674918,734.4141148,1510.966813,3307.86341,3530.938999,1247.46884,2148.12128,671.8076316,3831.939502,1073.067486,2146.35797,1482.82387,4942.54388,2222.85334,848.19114,1684.608301,5355.59156,2141.97536,0,0,0,413.89562,441.37535,75.86063881,2192.11232,1399.06916,108.74272
4474,7151,1082.89163,4962.14285,1844.71074,7668,5423.71329,2025,152.34465,4748.784629,7087.561058,11776.98588,2267.54466,215.32975,891.8032,730.74075,515.10016,325.2762134,698.3634752,1436.797051,3106.86911,3318.706833,1208.52344,1992.21413,648.7276486,3700.29304,1036.202202,1972.04908,1430.5125,4764.49394,2118.72227,798.44127,1583.352497,5004.55902,2007.47415,0,0,0,384.00988,411.45536,70.94862315,2163.09773,1363.97015,105.17618
4475,7230,1014.65037,4664.87194,1742.40883,7852,5247.79073,2143,145.09902,4532.530233,6764.801372,11240.67498,2164.283186,205.55287,882.43189,719.4774,478.8892,318.1359109,683.0333457,1405.257193,2971.1527,3143.375567,1192.49802,1904.4441,633.3197277,3612.407434,1011.591378,1880.08846,1405.59378,4684.14213,2062.53803,772.8343,1499.702083,4716.73343,1887.57215,0,0,0,359.82659,397.10145,67.71770138,2158.44303,1327.27021,103.38765
4476,7245,974.77101,4456.67971,1734.38436,7994,5197.78904,2241,142.13866,4427.660779,6608.283713,10980.59873,2114.208022,199.70432,897.24299,712.31084,469.66673,313.0563751,672.1276535,1382.820071,2903.1639,3014.441176,1191.97242,1874.19796,632.6692344,3608.69707,1010.552356,1871.27104,1420.8363,4721.41965,2034.78063,776.26666,1438.187584,4516.4508,1792.37864,0,0,0,346.15826,391.91949,66.15091242,2159.69591,1300.55125,102.36713
4477,7222,971.81622,4337.48569,1760.1917,8084,5220.40261,2320,143.69129,4404.867008,6574.26401,10924.07018,2103.323996,195.73834,910.22407,708.64292,469.0714,312.6078882,671.1647585,1380.839033,2894.03148,2941.148605,1224.31184,1905.29815,640.8554362,3655.39054,1023.628044,1880.01525,1449.33622,4920.43475,2068.84876,792.02256,1403.219755,4370.41317,1733.26307,0,0,0,345.7737,395.05089,65.81036493,2200.45432,1281.52778,103.80848
4478,7203,1067.54541,4352.96582,1799.13457,8159,5566.15366,2369,155.24291,4479.523528,6685.688866,11109.21835,2138.972485,204.24762,978.05549,719.19526,479.34875,334.1210494,717.3532142,1475.866106,2971.44991,2913.428105,1306.85053,2051.45656,683.287577,3897.420236,1091.404217,2021.29278,1543.44481,5357.13943,2273.35548,877.9092,1389.994325,4427.58453,1755.8993,0,0,0,343.8509,428.78916,66.92576133,2299.57495,1275.94109,109.14251
4479,7176,1167.4675,4673.9146,1956.49886,8171,6010.30651,2394,171.58699,5063.890965,7557.857265,12558.44959,2418.007936,215.80667,1052.95562,738.2346,555.36357,351.5609311,754.796396,1552.900853,3493.0696,3121.780119,1393.24356,2311.2671,745.1319235,4250.175672,1190.187194,2292.89668,1624.46559,5633.16247,2427.40904,979.32873,1489.398911,4846.77298,1972.56302,0,0,0,376.45054,477.43691,75.65642998,2408.85347,1356.03175,115.93893
4480,7120,1272.21715,4938.20346,2099.6288,8203,6231.2447,2405,184.2565,5564.984789,8305.739798,13801.16228,2657.280237,226.57504,1112.48156,757.31909,633.36284,363.7523842,780.9712751,1606.752451,4061.71136,3432.80197,1475.49369,2459.43566,799.9947304,4563.10894,1277.81867,2447.68799,1718.7737,6016.06828,2561.80384,1057.59436,1637.7872,5082.22557,2148.83624,0,0,0,407.28121,506.04373,83.14295962,2510.70983,1443.08921,122.90369
4481,7034,1364.34648,5183.36093,2276.05625,8405,6395.17048,2342,195.43548,5965.00667,8902.772456,14793.21654,2848.290685,232.16003,1193.72643,773.00652,718.06746,374.7346274,804.5499974,1655.262775,4455.45015,3793.713558,1536.06054,2590.48141,845.86948,4824.775013,1351.093667,2533.42517,1821.19186,6382.70573,2666.00838,1095.66062,1809.977842,5362.85364,2288.33142,0,0,0,434.58491,525.87254,89.11943653,2603.89909,1520.24299,129.50021
4482,6862,1464.05009,5386.15171,2472.29285,8246,6635.44857,2273,206.49025,6321.779414,9435.255775,15678.01295,3018.64967,241.88671,1274.72998,796.39095,810.8352,389.9136259,837.1390948,1722.310839,4747.99381,4153.728617,1600.37867,2747.93004,882.7899468,5035.36654,1410.066133,2612.74016,1916.2581,6777.96405,2766.21259,1113.66598,1981.740753,5690.93802,2402.91274,0,0,0,457.22996,540.04463,94.44975511,2719.56098,1593.26747,135.48653
